benchmark,input,variant,median_s,lo_s,hi_s,improvement_pct_vs_baseline
sha2_chain,1,untouched,3.9314,3.9058,3.9633,0.00
sha2_chain,1,32-reg,4.2451,4.1936,4.2969,-7.98
sha2_chain,1,v-reg,4.3531,4.3287,4.3771,-10.73
sha2_chain,1,no-reg,3.8071,3.7666,3.8492,3.16
sha2_chain,1,mem-batch,4.3170,4.2944,4.3418,-9.81
sha2_chain,5,untouched,4.8922,4.8471,4.9374,0.00
sha2_chain,5,32-reg,6.4030,6.3697,6.4384,-30.88
sha2_chain,5,v-reg,7.5638,7.5290,7.6025,-54.61
sha2_chain,5,no-reg,4.5361,4.4948,4.5826,7.28
sha2_chain,5,mem-batch,6.7289,6.7170,6.7412,-37.54
sha2_chain,10,untouched,6.0136,5.9902,6.0391,0.00
sha2_chain,10,32-reg,9.4919,9.4388,9.5452,-57.84
sha2_chain,10,v-reg,11.9570,11.9210,11.9910,-98.83
sha2_chain,10,no-reg,5.5873,5.5419,5.6420,7.09
sha2_chain,10,mem-batch,10.0650,10.0300,10.1080,-67.37
sha2_chain,20,untouched,8.5434,8.4842,8.6167,0.00
sha2_chain,20,32-reg,16.6470,16.5260,16.7830,-94.85
sha2_chain,20,v-reg,21.5970,21.3590,21.8270,-152.79
sha2_chain,20,no-reg,7.8125,7.6838,7.9513,8.56
sha2_chain,20,mem-batch,17.1850,17.1370,17.2320,-101.15
sha2_chain,25,untouched,8.9142,8.7522,9.0798,0.00
sha2_chain,25,32-reg,17.6640,17.5570,17.7680,-98.16
sha2_chain,25,v-reg,22.4090,22.3070,22.4980,-151.39
sha2_chain,25,no-reg,8.1292,8.0075,8.2588,8.81
sha2_chain,25,mem-batch,18.0510,17.7640,18.3270,-102.50
